InstrumentID,UpdateTime,LastPrice,Volume,BidPrice1,BidVolume1,AskPrice1,AskVolume1,OpenInterest,Turnover
cu1807,17:34:48.0,51730,9524,51720,24,51740,4,52330,2473.86
cu1807,17:34:50.0,51730,9524,51720,24,51740,2,52330,2473.86
