InstrumentID,UpdateTime,LastPrice,Volume,BidPrice1,BidVolume1,AskPrice1,AskVolume1,OpenInterest,Turnover
zn1806,17:34:49.500,24555,54088,24560,1,24565,6,82536,6702.67
zn1806,17:34:50.0,24560,54090,24555,8,24560,4,82536,6702.92
zn1806,17:34:50.500,24560,54096,24555,1,24560,7,82534,6703.66
zn1806,17:34:51.0,24555,54098,24550,7,24555,2,82534,6703.9
zn1806,17:34:51.500,24555,54102,24555,1,24560,4,82534,6704.39
zn1806,17:34:52.500,24555,54102,24555,1,24560,4,82534,6704.39
zn1806,17:34:53.0,24555,54102,24555,2,24560,1,82534,6704.39
zn1806,17:34:53.500,24555,54102,24555,1,24560,1,82534,6704.39
